sender_id,sender,total_messages,active_days,avg_message_length,link_ratio,anomaly_label
,,134615,10,164.94,0.0293,unknown
1518255631,breachdetect,39504,13,220.86,0.9961,unknown
breachdetect,breachdetect,33374,10,231.78,0.9963,unknown
716149923,Coolestbot,14874,19,76.73,0.0005,unknown
WordSeekBot,WordSeekBot,10478,10,85.26,0.0,unknown
1973797681,Kanal_va_guruh_bot,7689,4,167.65,0.0005,unknown
johnclanton77152,johnclanton77152,6515,8,555.66,0.0,unknown
2013979413,News_burst_Palestinian98,6483,13,153.95,0.004,unknown
8504846830,robertgordon23439,6386,14,502.14,0.0,unknown
5292845540,bombcircuit,6084,14,19.46,0.0174,unknown
6096673768,LeaveITToChase,5620,8,22.63,0.0005,unknown
7245442728,WordSeekBot,5195,13,90.83,0.0,unknown
on9wordchainbot,on9wordchainbot,4967,10,84.59,0.0,unknown
8529807851,viking3104,4720,19,18.22,0.0013,unknown
Coolestbot,Coolestbot,4357,10,75.01,0.0005,unknown
2153647281,Jarian_com,4348,13,289.89,0.0021,unknown
1237190930,GHClone5Bot,4344,19,243.48,0.3771,unknown
Jarian_com,Jarian_com,4311,10,200.94,0.0019,unknown
7067604448,,4122,13,12.9,0.0,unknown
2017907722,shara_BK,4083,19,27.42,0.002,unknown
5496364066,,3967,6,14.86,0.0,unknown
7583781320,pixeI888,3893,18,24.16,0.0041,unknown
6948737470,,3785,16,179.73,0.0,unknown
News_burst_Palestinian98,News_burst_Palestinian98,3765,8,147.65,0.0027,unknown
7995782892,shutupumar,3643,8,28.95,0.0365,unknown
7116263703,XD707BOT,3628,17,77.16,0.0,unknown
5292845540,wearbra,3587,6,18.1,0.0098,unknown
1381593832,,3567,13,48.07,0.6126,unknown
7484149269,zanmureed,3542,19,26.11,0.011,unknown
819194034,,3441,6,17.73,0.0,unknown
840338206,on9wordchainbot,3429,13,83.42,0.0,unknown
1667040165,,3307,13,362.51,0.4487,unknown
Unknown,Unknown,3258,10,164.56,0.4497,unknown
7837218462,yuliadordel,3235,2,948.0,1.0,unknown
7563259034,,3210,12,10.11,0.0,unknown
Dontknowsshh,Dontknowsshh,3202,9,10.99,0.0,unknown
8766777138,Khizir1970,3165,11,18.03,0.0126,unknown
7024332308,Dontknowsshh,3097,12,9.24,0.0,unknown
1835649603,ofertascomdescontosimperdiveis,3066,13,199.9,1.0,unknown
6795695837,Exoticlamii,3025,18,12.87,0.0,unknown
1129491012,cveNotify,3006,19,505.4,0.0057,unknown
8388021660,,2922,8,7.93,0.0,unknown
Lostiee,Lostiee,2826,10,8.91,0.0035,unknown
7015880778,SageDontGAFbleh,2803,19,15.94,0.0171,unknown
8596139958,,2788,13,9.79,0.0004,unknown
6305109293,BKRPLG10,2724,14,476.58,0.4218,unknown
shara_BK,shara_BK,2718,10,26.46,0.0018,unknown
7771551945,,2717,6,25.98,0.0,unknown
Nablusgheer,Nablusgheer,2644,8,92.47,0.0008,unknown
8275499478,Ali05GHG,2611,17,22.46,0.0034,unknown
inteladmin21,inteladmin21,2564,8,137.93,0.0043,unknown
5470666788,,2529,13,25.43,0.0,unknown
Save_Palestin,Save_Palestin,2517,8,177.88,0.0072,unknown
1649391565,inteladmin21,2436,13,170.67,0.0074,unknown
cveNotify,cveNotify,2435,10,418.81,0.0049,unknown
8418948293,Gghhhwhe,2353,19,21.45,0.0,unknown
7995782892,,2347,13,23.92,0.0264,unknown
5181247357,Mikey_mir,2335,19,23.63,0.0034,unknown
5511582563,hsjsvskvsksv,2318,14,19.89,0.0056,unknown
5864481291,,2261,15,13.3,0.0234,unknown
696267355,ProtectronBot,2249,14,65.35,0.0,unknown
7845498757,erenisdeadh,2237,15,13.05,0.0009,unknown
93162029,,2189,16,25.5,0.0018,unknown
5263928122,,2187,17,13.9,0.005,unknown
PurvaMusicBot,PurvaMusicBot,2187,10,70.38,0.0,unknown
6879632237,Px_156,2173,18,23.49,0.0014,unknown
8267384574,,2166,17,17.23,0.0,unknown
1398906121,Nablusgheer,2154,13,91.26,0.0,unknown
7796649500,callmeurkitty,2147,17,16.43,0.0037,unknown
5131538564,D0228,2145,18,29.87,0.0098,unknown
8377125573,,2088,19,21.37,0.0101,unknown
8686012471,tinyabss,2075,15,18.16,0.0145,unknown
604873146,Magic12k,2043,19,19.35,0.0,unknown
GHClone5Bot,GHClone5Bot,2033,10,247.65,0.4717,unknown
5909593632,,2012,13,25.21,0.0065,unknown
162726413,GroupHelpBot,2001,19,284.73,0.2064,unknown
8255002508,PurvaMusicBot,1996,13,65.53,0.0,unknown
1140394567,IranintlTV,1960,13,344.37,0.3066,unknown
ofertascomdescontosimperdiveis,ofertascomdescontosimperdiveis,1958,8,198.84,1.0,unknown
609517172,MissRose_bot,1871,19,206.59,0.078,unknown
5310310031,ROCKLEE8G,1835,18,14.99,0.0049,unknown
8114208402,Unalivesudad,1831,13,20.16,0.0022,unknown
1480704267,IIHakII,1806,8,25.34,0.0022,unknown
6183021318,,1779,18,27.07,0.0,unknown
stand4muslim,stand4muslim,1770,8,208.23,0.0028,unknown
8490403936,,1709,13,14.15,0.0,unknown
8578974526,Tg_Khaled_Tg,1706,17,32.78,0.0,unknown
8253141819,vuln_tracker_bot,1705,13,572.39,0.0,unknown
-1001518255631,breachdetect,1683,1,224.27,0.9947,unknown
5511582563,,1668,6,22.33,0.0048,unknown
Aree3_jenin,Aree3_jenin,1619,8,65.11,0.0,unknown
8113278080,,1602,12,13.86,0.0,unknown
8379429851,,1600,13,14.14,0.0075,unknown
viking3104,viking3104,1599,5,16.96,0.005,unknown
8517781695,synceclus,1596,11,26.33,0.0169,unknown
8797625657,shawtyonfire,1592,9,19.26,0.0,unknown
justsamyraaw,justsamyraaw,1587,9,14.05,0.0044,unknown
RezistanceTrench,RezistanceTrench,1581,8,195.97,0.0006,unknown
5454367767,,1577,6,14.81,0.0,unknown
1663358719,Compass_News33,1568,13,143.68,0.051,unknown
7924005861,OoOoOjgkj,1547,16,24.83,0.0026,unknown
Sweetmaryyy,Sweetmaryyy,1537,9,13.62,0.0,unknown
8796108891,,1530,17,24.33,0.002,unknown
Middle_East_Spectator,Middle_East_Spectator,1523,9,144.58,0.0059,unknown
pixeI888,pixeI888,1493,10,18.23,0.002,unknown
5864481291,aszxervy,1493,4,14.46,0.0214,unknown
InfiniteDrive0,InfiniteDrive0,1484,10,23.67,0.0,unknown
De0javu08,De0javu08,1476,6,19.85,0.0,unknown
Hushhhhhh_06,Hushhhhhh_06,1476,10,18.44,0.0,unknown
AMK_Mapping,AMK_Mapping,1471,10,99.35,0.0054,unknown
8287834962,alexandrajoyce,1466,19,28.23,0.0,unknown
6125315581,Ayjaaa,1454,18,18.86,0.0007,unknown
8232988642,nuronplus,1448,7,28.18,0.0041,unknown
1277347123,,1448,12,219.51,0.0021,unknown
254395567,,1444,6,20.3,0.0,unknown
hsjsvskvsksv,hsjsvskvsksv,1439,10,20.47,0.0035,unknown
6648668359,lovelybitcB,1436,12,30.81,0.0014,unknown
Ali05GHG,Ali05GHG,1392,10,19.91,0.0007,unknown
8424490681,isusiiii,1387,15,32.41,0.0036,unknown
8133760264,Blahblahblowagain,1385,16,22.35,0.0,unknown
5644877649,Hope_565,1374,17,14.9,0.0102,unknown
1192086077,,1369,7,30.28,0.0,unknown
8559057934,remas77777777,1338,18,18.64,0.0045,unknown
6740198215,CrocodileGameEnn_bot,1325,10,56.26,0.0,unknown
1714843499,audiminia,1321,13,18.63,0.0,unknown
TheSimurgh313,TheSimurgh313,1312,8,152.89,0.0038,unknown
8425842049,Tazegigt,1297,18,24.79,0.0,unknown
MissRose_bot,MissRose_bot,1289,10,235.39,0.1621,unknown
8272542792,mma0er,1288,16,21.45,0.0,unknown
ur_suss,ur_suss,1284,10,18.11,0.0023,unknown
1033300734,hezbulla,1284,13,417.35,0.0016,unknown
IranintlTV,IranintlTV,1273,8,271.93,0.2804,unknown
5075100311,a_countenance,1248,18,43.37,0.0088,unknown
7835744568,croissle,1243,14,28.01,0.0,unknown
irna_1313,irna_1313,1232,7,639.49,0.0,unknown
8543003857,,1230,8,20.91,0.0,unknown
moonnn_07,moonnn_07,1225,8,27.26,0.0,unknown
sepahcybery,sepahcybery,1220,8,201.99,0.0,unknown
1527322197,RezistanceTrench,1218,13,228.18,0.0016,unknown
andreafortunaorgBot,andreafortunaorgBot,1214,9,138.8,0.9951,unknown
7058606267,Hushhhhhh_06,1213,12,14.06,0.0008,unknown
SageDontGAFbleh,SageDontGAFbleh,1210,10,17.54,0.0273,unknown
1068487996,irna_1313,1207,11,715.27,0.0,unknown
5354752677,FoundError404I,1201,9,21.69,0.0,unknown
niii0420,niii0420,1198,10,13.12,0.0,unknown
GroupHelpBot,GroupHelpBot,1197,10,285.11,0.2072,unknown
8765846120,HolyMongoose780,1185,7,23.22,0.0,unknown
8766777138,wearboxer,1184,4,18.03,0.0279,unknown
8766777138,wearpanty,1178,3,20.96,0.0051,unknown
1323386230,ctinow,1164,13,93.54,1.0,unknown
6473787885,The_blessd_one,1163,6,29.38,0.0,unknown
Cleanrobot,Cleanrobot,1162,10,341.01,0.0,unknown
carthicaa,carthicaa,1150,8,8.13,0.0,unknown
D0228,D0228,1147,10,21.68,0.0061,unknown
1467256056,Save_Palestin,1144,13,240.63,0.0009,unknown
1264347161,stand4muslim,1136,13,319.13,0.0,unknown
1000336321,red_color,1123,13,585.71,0.0294,unknown
881615716,,1117,11,26.17,0.0,unknown
8327941285,itzznone_ofyourbusiness,1113,11,17.83,0.0,unknown
rainsoundatmiddileofnight,rainsoundatmiddileofnight,1109,10,21.48,0.0,unknown
mjaUafAPELWS,mjaUafAPELWS,1107,10,7.03,0.0,unknown
2085434338,darylcarol,1106,10,30.24,0.0009,unknown
8337751944,ACMPHHSU,1103,3,32.67,0.0091,unknown
8783888321,Asmadiva,1100,4,17.53,0.0,unknown
8305206229,greengreeeen,1093,8,23.45,0.0,unknown
8533341420,imaliza11,1079,15,20.62,0.0028,unknown
GeoPWatch,GeoPWatch,1069,10,120.47,0.0047,unknown
8675524431,,1066,17,15.97,0.0,unknown
8528072384,VENO_M24,1062,14,18.79,0.0,unknown
red_color,red_color,1059,10,899.04,0.0302,unknown
6870704288,,1045,6,27.71,0.0,unknown
7657259942,Saadwhy,1042,15,37.95,0.0038,unknown
1945682618,Aree3_jenin,1038,13,67.72,0.0,unknown
bombcircuit,bombcircuit,1021,8,17.62,0.0049,unknown
3555334039,hyperdashflows,1020,13,60.81,0.0059,unknown
8690276329,ushhpmca,1019,4,26.2,0.0098,unknown
8059472716,ivxzis,1014,14,17.8,0.002,unknown
5011104862,Mur33d,1009,16,25.45,0.004,unknown
6623802054,Zoyyiii8,1006,14,17.54,0.0,unknown
5777350940,yaqeeeno,1002,7,26.1,0.0,unknown
7948406183,kghgjv,994,16,13.35,0.0,unknown
6169504479,disosax,991,12,18.72,0.0,unknown
zanmureed,zanmureed,990,9,26.57,0.0091,unknown
8322334145,Lostiee,987,13,10.52,0.0061,unknown
8040706717,lx_20,974,9,42.72,0.9784,unknown
210944655,combot,973,19,86.13,0.111,unknown
1018530983,mosala73520,972,12,19.49,0.0,unknown
6335581860,coolmitraaa,966,4,12.06,0.0,unknown
1283741993,infosemasaofficial,958,13,839.03,0.2912,unknown
infosemasaofficial,infosemasaofficial,958,10,840.0,0.2891,unknown
5263928122,dinaswhisper,958,3,12.25,0.001,unknown
8784094378,n7garr,950,17,16.25,0.0,unknown
ctinow,ctinow,950,10,92.71,1.0,unknown
Syrian_Agenda,Syrian_Agenda,942,7,134.09,0.0,unknown
Shiva77880,Shiva77880,934,6,27.75,0.0,unknown
2064160399,Meyyllin,932,12,14.33,0.0011,unknown
tulkarmalroh,tulkarmalroh,931,8,44.71,0.0311,unknown
1231024703,casadacidadania,926,12,364.05,0.4622,unknown
7765217869,ellianoree,915,16,27.61,0.0,unknown
7253453237,,913,10,14.37,0.0,unknown
8042341138,,912,13,15.19,0.0406,unknown
Khizir1970,Khizir1970,911,4,19.98,0.0055,unknown
whispersml,whispersml,907,7,15.64,0.0011,unknown
meetmeatkitchencounter,meetmeatkitchencounter,907,3,17.07,0.0408,unknown
remas77777777,remas77777777,903,5,19.77,0.0022,unknown
8244203317,Lyme_4,899,6,25.86,0.0,unknown
Themetaphysicalanticlimaticfeind,Themetaphysicalanticlimaticfeind,895,10,21.5,0.0011,unknown
7735815414,Captainf1,895,8,11.97,0.0,unknown
7227679567,,894,8,14.96,0.0,unknown
oumaima158,oumaima158,888,10,14.95,0.0,unknown
1251718534,sepahcybery,888,12,258.26,0.0,unknown
8797625657,donfreakmeout,886,5,18.04,0.0,unknown
1736530527,wassssssssssssssssssssssssssssup,882,4,18.07,0.0,unknown
8562519821,Zxx5561,882,11,17.39,0.0,unknown
8627252104,mphhcaus,878,3,23.35,0.0103,unknown
8232988642,,877,10,24.44,0.0,unknown
vuln_tracker_bot,vuln_tracker_bot,876,8,542.08,0.0046,unknown
2100999082,,876,13,19.72,0.0,unknown
793977288,GHClone2Bot,874,20,110.48,0.0,unknown
1676395103,,873,12,241.93,0.0,unknown
5790672563,,869,5,10.76,0.0,unknown
6802126927,Ds_terbot,868,17,98.36,0.0484,unknown
1452316437,Syrian_Agenda,863,13,148.46,0.0,unknown
xxnnem,xxnnem,860,8,112.19,0.0047,unknown
8362199297,,852,4,15.06,0.0,unknown
606923597,,850,4,19.96,0.0,unknown
